"A101"	"A90"	"A264"	"A263"	"A274"	"A199"	"A114"	"A110"	"A136"	"A246"	"A44"	"A273"	"A248"	"A47"	"A286"	"A281"	"A117"	"A60"	"A218"	"A220"	"A45"	"A164"	"A184"	"A159"	"A203"	"A32"	"A235"	"A231"	"A250"	"A290"	"A76"	"A126"	"A219"	"A106"	"A229"	"A67"	"A112"	"A118"	"A111"	"A242"	"A245"	"A20"	"A89"	"A156"	"A236"	"A256"	"A178"	"A77"	"A198"	"A200"	"A02"	"A233"	"A271"	"A169"	"A302"	"A303"	"A59"	"A70"	"A74"	"A68"	"A07"	"A27"	"A99"	"A94"	"A88"	"A86"	"A87"	"A121"	"A132"	"A138"	"A149"	"A147"	"A143"	"A146"	"A145"	"A185"	"A180"	"A154"	"A174"	"A155"	"A166"	"A176"	"A182"	"A160"	"A177"	"A186"	"A190"	"A211"	"A195"	"A208"	"A205"	"A217"	"A189"	"A215"	"A188"	"A06"	"A40"	"A39"	"A36"	"A79"	"A05"	"A26"	"A15"	"A35"	"A238"	"A230"	"A23"	"A234"	"A240"	"A257"	"A260"	"A268"	"A251"	"A259"	"A275"	"A261"	"A292"	"A288"	"A279"	"A50"	"A280"	"A284"	"A301"	"A308"	"A224"	"A297"	"A304"	"A183"	"A202"	"A46"
"A101"	0	0.940309962301882	0.534891574402393	0.850180923157347	0.381058796331972	0.92850701122914	0.916295153481939	0.970640128356156	0.976608593973676	0.96838842747317	0.891535427303647	0.911862661582024	0.989251406596118	0.913320555302883	0.760195881331606	0.964756317327028	0.789180834621329	0.96886422959098	0.744083127998962	0.925410841895046	0.8185077277995	0.567292353147781	0.647705885480355	0.778142739641061	0.93461581049658	0.97267361305772	0.992879731955494	0.63583469087064	0.992714390026233	0.787462315062173	0.902252226850024	0.670139849720088	0.870240253853128	0.824825914369489	0.853264287530274	0.953959572698778	0.971116665598496	0.972118528229191	0.992228021047766	0.9313164703277	0.860972612076877	0.819876853930185	0.60539876517605	0.802126111624858	0.971926704392347	0.989163061475191	0.519912195669067	0.685610464330325	0.601039796992016	0.858259681868187	0.968681160550742	0.975821830426515	0.973943162821799	0.388849806075504	0.449089748198544	0.534833296840037	0.957985767725846	0.97587969439363	0.65432019651821	0.992970057255275	0.592648107533537	0.972581820705931	0.858619363522738	0.975213661457244	0.482418722773096	0.634284553996757	0.990655684503295	0.960488779646259	0.385668048228088	0.978291352063096	0.691388012702408	0.753014337166924	0.44806205676118	0.673064661991106	0.942336565948011	0.661748190081028	0.931421562745804	0.552919464698133	0.535637305560402	0.960470311266871	0.968892325742627	0.417537982246501	0.975102706719146	0.976336600653464	0.638249884832815	0.908386676792883	0.961782253042891	0.973745834701579	0.406330416193466	0.427955453341399	0.801632030057532	0.985826054337924	0.984340262564302	0.495360249654515	0.39734592796243	0.975078498183977	0.445680929912854	0.686910022294366	0.858126914944116	0.38571913197426	0.436930783850902	0.589978198317543	0.606298242512869	0.940682899733484	0.800411896865304	0.634478680982837	0.990440560848692	0.991864201404291	0.579567926968754	0.975543998468509	0.454989788537633	0.47510694554913	0.526586694923709	0.902363625685409	0.970034403761265	0.515151515151515	0.387760729445889	0.94694806472368	0.975131615962705	0.828968961053732	0.906409583864164	0.917707300509338	0.976833792411674	0.733144825896875	0.565094392999264	0.768664792897048	0.677218421864528	0.992694240536758	0.993780899635283	0.513325466683676
"A90"	0.940309962301882	0	0.919678452744193	0.865390779569595	0.945398471998318	0.802140856018526	0.913560689679368	0.705907007557833	0.961714304330828	0.778475680244975	0.948155474129079	0.900207306894974	0.719468292085607	0.938866956232675	0.956375061022006	0.955192818679259	0.881817616507466	0.928596933530984	0.84719948894683	0.937768880642764	0.825233221130728	0.921542169723548	0.980528009191211	0.959433425281317	0.838638244692805	0.9385956358751	0.958002759102038	0.965127171722673	0.989176105099361	0.967069184649341	0.89835856521597	0.971838970308362	0.903810611225655	0.954758164801361	0.886220585759516	0.953645338979613	0.94710104286051	0.907086009645537	0.880015816096969	0.885575534343509	0.779673523845829	0.936071229345277	0.973266431972376	0.922833163894357	0.776073326059791	0.715148115934961	0.896141195086134	0.961895877632211	0.888515100212987	0.958930367103316	0.701281120530134	0.965145183175034	0.95731700697995	0.9661461559593	0.880869875300452	0.969071299108389	0.896504427071261	0.908415659147924	0.938921081789835	0.975911456567667	0.934366244873216	0.926062766470375	0.953420314595781	0.95785462513099	0.909816276375762	0.941734887503388	0.97741770443264	0.882297737824756	0.96130763180295	0.945629257876224	0.93921916592724	0.950451098628106	0.954059730989163	0.86592000346446	0.973164841062672	0.902527115085452	0.977968586840667	0.938334573496584	0.880284567238815	0.855815897764411	0.925698470628657	0.889954833419481	0.92605482782642	0.915190483149047	0.981639875726057	0.937900679624211	0.703242144367081	0.842356970592493	0.962010009923163	0.932649463575013	0.983132849790311	0.952341984998464	0.940232800050501	0.973406669404162	0.936932365511159	0.941232500142468	0.92187179015883	0.956165172194674	0.941988685658922	0.961529878335686	0.914119414805613	0.917679774486009	0.955378373457469	0.95572667589705	0.914483200312628	0.956680164161685	0.833538062074471	0.710094885722677	0.960851940727485	0.7212398809861	0.962153689259882	0.943134629908851	0.90372376809215	0.950753379577089	0.958865133354929	0.959667813839626	0.955693274372465	0.968694282377249	0.897850777754218	0.936029591603987	0.594250441970796	0.908682395364096	0.973170081652762	0.946400641830839	0.924909095879925	0.944453137224222	0.960086023362305	0.943938427659586	0.931280653801551	0.973425438348149
"A264"	0.534891574402393	0.919678452744193	0	0.804181280140289	0.631009866046362	0.962604463908088	0.900229379284133	0.922930248898448	0.994932741704451	0.974939569116002	0.856920800994811	0.94840559896181	0.932950672355308	0.846031041162096	0.643445782024617	0.991598721755485	0.828078200875751	0.955733693902518	0.756234961460557	0.865002717055035	0.752224156864027	0.639232275923098	0.651631506164122	0.780695374662136	0.903508628889795	0.986928490839736	0.996084941625614	0.545618545564534	0.993974641240778	0.71005519493664	0.86947663106922	0.640742257884014	0.864713469188265	0.89306152032107	0.863118095986988	0.993252321861029	0.989439713663076	0.976470588235294	0.989053039214891	0.938198964547295	0.831001585102735	0.815482041283295	0.642811086169578	0.806680324791642	0.936904958823354	0.934389754310912	0.567116131840729	0.674878857711887	0.635076146530621	0.782812253508699	0.915413055599162	0.993783102958274	0.985380242873138	0.65216229932954	0.483228995413451	0.564522066232283	0.95269734902877	0.986621439805954	0.654193881197323	0.991602809105116	0.633570008827942	0.990431059030856	0.869706245145964	0.995346363874395	0.638596001460262	0.612773141775637	0.994688603167406	0.969996952347781	0.642862486107549	0.992614689994356	0.677144482244234	0.756903102121484	0.646877058442358	0.568200486398557	0.904254718578875	0.67263998273816	0.942514796550781	0.642912922019198	0.546753029263523	0.933437782659258	0.975980488171356	0.593246177423381	0.948840901271392	0.995732712116414	0.635183726401192	0.9310781560063	0.922200117278182	0.981197132169914	0.640039580319547	0.59378854672802	0.747422971068	0.950315047034621	0.982629996053509	0.627109925087612	0.645832940878865	0.987819286219861	0.588251694260959	0.697980684811238	0.866313832458033	0.615187483499692	0.637723729442714	0.613847332858407	0.610538713007107	0.944896933672633	0.833780550494271	0.645527801474703	0.934461017581744	0.933549445973201	0.646072718374284	0.924083888694182	0.646552946685397	0.6367672627079	0.640040373563998	0.89806350749857	0.982907996615869	0.593269141796528	0.648570056557464	0.983253031709555	0.986396061705695	0.80186671390225	0.834788112198866	0.841127167156002	0.995300638952897	0.710785272424777	0.640460039366877	0.733733605175708	0.626783348721448	0.994929537874406	0.994791029478532	0.650989840860652
"A263"	0.850180923157347	0.865390779569595	0.804181280140289	0	0.932712260307458	0.875679820744866	0.910149080853864	0.931966228310353	0.982351042470198	0.902183080911371	0.954141778244842	0.739521737715234	0.88684325246139	0.697041505297164	0.836107378492975	0.898090357619955	0.855322835031748	0.963288400006541	0.92132605842945	0.801872663270437	0.72653344888596	0.906437076508124	0.918794001527062	0.945563637767398	0.890831768474539	0.960816527031084	0.934658154407402	0.740112715319735	0.98274970479817	0.74511551381367	0.951553122443265	0.945898460341766	0.808538991047164	0.78504344194277	0.748156011293747	0.914221649470492	0.826440888951979	0.925599891052703	0.830109931776905	0.785582326544701	0.715522657499595	0.965677554539403	0.984415640891141	0.950256888031687	0.865633274279716	0.943604681319221	0.899747758765656	0.902801392264033	0.916149871511977	0.829638019496481	0.891160391160391	0.984048690592719	0.894329572735575	0.978987355510935	0.872205506841726	0.869341740708895	0.911110866883358	0.883141209185652	0.899701665270071	0.916422788220603	0.94715120566127	0.981185319418366	0.967495078941693	0.909229279851248	0.946403931214651	0.823372608142285	0.901813575216483	0.886071679394801	0.988199981545509	0.957598427346694	0.895719199550824	0.895727388862598	0.895787091439265	0.857727213229198	0.873032606231753	0.862894253692489	0.942549851182364	0.93048228934089	0.87448132780083	0.865070205282763	0.890249054834586	0.85197363936536	0.799495173317405	0.892930758073135	0.939736736093721	0.902348506491885	0.960640951362878	0.897558680019484	0.924419239930943	0.861032868965442	0.910544333665216	0.885412814634026	0.873855386700223	0.958530889533649	0.957994657742855	0.893345290793212	0.974079097153004	0.909911240984557	0.885382568288681	0.963013628126329	0.914378470552228	0.890348015374746	0.889967991982936	0.947481497861095	0.974199334476262	0.874526562206689	0.955296188477422	0.891988018950635	0.957480405307573	0.985943780557737	0.976411747917205	0.949576784551606	0.916725480249664	0.978386697995039	0.917590935546864	0.871912436534186	0.975155144847023	0.948305427902894	0.939620698344527	0.87124125995154	0.81932553526233	0.739663084906604	0.925894181817196	0.806144860639743	0.934739730253879	0.950358233944705	0.833082768088953	0.883220378079724	0.914684375837369	0.962930465420149
"A274"	0.381058796331972	0.945398471998318	0.631009866046362	0.932712260307458	0	0.889403759083213	0.860241961378527	0.955522822205619	0.933170325446314	0.897911973351598	0.781637598444026	0.915873747081156	0.959024353702549	0.849492682584308	0.76229022493089	0.923404050711359	0.838391948042971	0.922402144886213	0.656044740920423	0.918094872328282	0.867146750654353	0.510926140892386	0.610164502210424	0.746389678030303	0.933399789853706	0.893981037605199	0.958699882597018	0.661335232444821	0.997318347735299	0.785457221218811	0.879512649885878	0.658502530997083	0.820637676478109	0.940399588186088	0.914529503793764	0.890600363211899	0.895670660070491	0.940287081339713	0.95890113484342	0.936660604835994	0.872020088718032	0.800779606682039	0.572357374205203	0.737095093264138	0.902864808049527	0.961002458992373	0.437967210669054	0.670279936239592	0.55026469230191	0.833067793509871	0.909671949040211	0.931598663777922	0.913248588475126	0.285685531926163	0.437865815961954	0.454388044593029	0.890715773614042	0.897626785680739	0.594733323211256	0.957526579220343	0.569645263649591	0.884484880122301	0.82142790535338	0.914751273137927	0.431923908068002	0.625179909805218	0.953213964638897	0.930426525965969	0.278191585170744	0.925368362153953	0.624018470836082	0.732010005045234	0.403109253959573	0.633121670028795	0.971631659324053	0.578062998021285	0.950742401753462	0.497519042842738	0.576019837083135	0.814994715659795	0.910246144760679	0.353341724120497	0.916807889499735	0.848348420262784	0.565670840882164	0.932068283470021	0.932214998500097	0.895859233819972	0.402045201294512	0.278329575907099	0.730341146561248	0.922452067134078	0.951429303762462	0.466678708799966	0.288813354926323	0.89845540581284	0.429593561624903	0.630287236939771	0.854557195323746	0.182286172077639	0.360605462603937	0.536548565558421	0.395657157514208	0.846717409200259	0.796412266494475	0.588622493226392	0.902300931738584	0.960628242868051	0.566555494237429	0.941050554242562	0.41860483624932	0.437451916504266	0.488883150697459	0.866457518289386	0.922984222038181	0.572192455660413	0.274638946199016	0.916343738644471	0.919656173324567	0.835618288647261	0.918419331152794	0.896439778658183	0.918764014306174	0.740702668674747	0.527605910906364	0.669964930524238	0.699287581092376	0.941726553163668	0.943888510080933	0.497084861163033
"A199"	0.92850701122914	0.802140856018526	0.962604463908088	0.875679820744866	0.889403759083213	0	0.846982340642028	0.984012436546197	0.821480111601655	0.807883496322082	0.803213449670143	0.817446896485918	0.9840255847777	0.929505603698847	0.853952641850302	0.945335608341936	0.857229167387503	0.875050595428304	0.937580446262571	0.81270994098956	0.883459490449649	0.972418446971117	0.988020422630569	0.988165138603088	0.877221943495876	0.818325316496198	0.98804738110445	0.97268087661363	0.99097320321637	0.979490421630426	0.889810324850878	0.834325910925795	0.882485467662348	0.884804105779658	0.735254967577768	0.808280514197943	0.813379990558313	0.81044485368476	0.894129109663497	0.87682979130871	0.765311291398982	0.845246282701299	0.874427362321304	0.880585573595954	0.816310107896146	0.986098404730597	0.984983863654549	0.983096020544006	0.821185146960803	0.933415254934538	0.803712558764271	0.822808479719622	0.945231022396991	0.833484465231709	0.842953793389869	0.83600873695524	0.855163954446511	0.91353131943866	0.887972990631525	0.986747647333645	0.946772884380728	0.741466016052049	0.824757199977594	0.873611844167535	0.937466695086859	0.759179403979165	0.978516399327097	0.928718807389003	0.824163060081466	0.822964516077402	0.839635906558582	0.909368610944077	0.972948549619132	0.97549811093526	0.979267339255172	0.795129890990084	0.822319749884156	0.810562372977969	0.845139220280639	0.797496900517293	0.95927889826649	0.942004353003546	0.950976991559718	0.867618930913779	0.970548028999846	0.798635209852062	0.88691180183652	0.843858455897178	0.952466865588786	0.904191553014575	0.911558624659856	0.976327402249512	0.98359260829986	0.992973777990532	0.989534613504569	0.817136140828892	0.868427494891008	0.942555159343274	0.961360777309962	0.887992122336722	0.965697503671072	0.88454822052238	0.886142282022818	0.737770155471924	0.794615070216728	0.984808201521876	0.795410821696318	0.983478531004768	0.958495370432155	0.897133297040352	0.885856646189069	0.835518352821829	0.976312940631547	0.89523136606631	0.888761918935295	0.952050909444501	0.937498675931615	0.879819322699113	0.847885771167709	0.958338179093901	0.790231736298047	0.930670182806726	0.832824016771666	0.880572168608377	0.926107711599421	0.846195522269142	0.983811884212735	0.986983931110336	0.98902892790554	0.987906554509427
"A114"	0.916295153481939	0.913560689679368	0.900229379284133	0.910149080853864	0.860241961378527	0.846982340642028	0	0.942024433738788	0.903124006295577	0.841550187798081	0.806794817575134	0.67660769893328	0.927416374300329	0.936645687343196	0.745344449037218	0.92927604750228	0.841123684014435	0.910845086548216	0.8764272917611	0.892116736483221	0.88666919041696	0.91267025631826	0.929070520648607	0.936265044341927	0.649945924369635	0.888319243268895	0.973408893933418	0.822821382147595	0.987695598394702	0.775149196961418	0.823197663660426	0.633933506228477	0.794412468473129	0.92807663094385	0.891492881558868	0.851236105787658	0.866204770438641	0.857043642082239	0.931982501811546	0.820741028421013	0.830095136004288	0.83192645683017	0.699869885020845	0.8302989011106	0.841503320739282	0.963484494511473	0.908318732282058	0.916483516483516	0.851218037434664	0.895246081745952	0.860292833870097	0.902482672044231	0.770708292933097	0.864755021911627	0.835256042737195	0.868688700326932	0.833598127831333	0.911375945667125	0.776398310508127	0.972633455947125	0.904549473406986	0.818760614600358	0.8428815277111	0.87613919472796	0.875485863017932	0.695988473698955	0.960535796073936	0.922008624903125	0.862090361174234	0.884401080772544	0.748721212298729	0.838847944246402	0.88558793905748	0.747123435839099	0.967055659607165	0.834357191229887	0.88759389586978	0.837451727168615	0.850475406716008	0.851701447238705	0.913720561135906	0.863655251774032	0.937792714074472	0.873813690471434	0.854905662886091	0.885937635433822	0.913568501559934	0.887905684011333	0.894414363446651	0.855356339703687	0.791963800326181	0.772029626141217	0.954613469028365	0.912094516078423	0.903386571230169	0.733139600104701	0.728025201476117	0.893302257704983	0.844157383266177	0.86280239267376	0.89794790612745	0.842323873694133	0.872257795323608	0.884122827136327	0.655695756228899	0.922415954661756	0.911592561624843	0.964643408926391	0.939156658660262	0.900331379046648	0.847734177484119	0.856226654072389	0.926690631016331	0.84254248223131	0.736622955611357	0.92705303441552	0.896819155499421	0.718649270098188	0.903009773939194	0.875342769523665	0.874279666000235	0.907006773748132	0.862630053054756	0.801970825821753	0.911587047475549	0.872550607717494	0.934994634680153	0.803976792654763	0.842985641595666	0.872417563751407
"A110"	0.970640128356156	0.705907007557833	0.922930248898448	0.931966228310353	0.955522822205619	0.984012436546197	0.942024433738788	0	0.988240869404574	0.935484048981574	0.957599226072612	0.962452634290251	0.637359924434331	0.862929834161353	0.961439574861766	0.871724178583007	0.923830093592513	0.968855795985989	0.896338990748801	0.963945117824402	0.915656513658063	0.942008922942371	0.920031919138183	0.737593264703105	0.809189742813673	0.964530803813513	0.726622341355086	0.850105134257655	0.994815175623748	0.945807545934224	0.973194108937894	0.972662552382575	0.925341137972558	0.916494781596151	0.938757749005851	0.937054954902097	0.907177708541532	0.962817904781203	0.878787552840194	0.903574671393981	0.931700034370167	0.975136668206716	0.922167000127708	0.969872723054647	0.768339310270445	0.370953691580044	0.880750002004067	0.911870055946932	0.931078865100799	0.916648054199504	0.673187838270638	0.993304091141436	0.903555513923644	0.980837426254373	0.883577970815303	0.929772248762919	0.89795150074486	0.913968074510754	0.947949450960485	0.887622899080998	0.949964321777179	0.942918050216515	0.975184791264704	0.905388720085034	0.945636883423334	0.930096962794838	0.939364011840576	0.897902805548866	0.990940416634564	0.956171178273732	0.944090049277381	0.922620513864048	0.907150750223003	0.843796629714356	0.767953378956373	0.920874982902109	0.996739724930966	0.95041842790658	0.93074681385386	0.78260275989453	0.888134688759038	0.866190529569075	0.83627860868066	0.848740975993808	0.750788013141102	0.934031754647849	0.569442225559425	0.893404651864301	0.947485928956269	0.941911966657512	0.928393294848312	0.875272795517306	0.872933738917696	0.951056273296228	0.959447236449854	0.922641731609146	0.963435408152656	0.907146893336226	0.918869319745883	0.964973507369672	0.925816952380443	0.908274457506098	0.951327101601526	0.959276598473674	0.980190017395959	0.904880770030824	0.848493364227806	0.594196387492084	0.957049571351406	0.630142015675466	0.974306712291588	0.94684907050403	0.929421477346615	0.962058317573271	0.953988407911587	0.906006196977282	0.975534113489665	0.95655134985581	0.959116925592805	0.880281155838807	0.933995361517737	0.895127685888637	0.940862213631005	0.917266992050129	0.808212309027825	0.967358363554607	0.902996077262493	0.881761668892896	0.93719723183391	0.823759048191425
"A136"	0.976608593973676	0.961714304330828	0.994932741704451	0.982351042470198	0.933170325446314	0.821480111601655	0.903124006295577	0.988240869404574	0	0.844728946121687	0.964066889632107	0.881800635543518	0.990942326706666	0.953915822397498	0.883570539458301	0.778032430571247	0.975462520512594	0.964768399230765	0.936659075671993	0.448487941129076	0.98344971668113	0.987329907236821	0.988196682787185	0.869771827063228	0.952919981332957	0.712744787783541	0.881317684658324	0.98883802190336	0.865256030929656	0.987874509254444	0.982896206410955	0.848023243692582	0.984581145516795	0.969377230829045	0.961016894471389	0.60016386287997	0.728867940219389	0.858814649057533	0.945987683485557	0.96686102195247	0.963913009486786	0.957819437592501	0.870227070573246	0.933874119883276	0.789567152421147	0.969293174263785	0.979053546517867	0.879931659590881	0.737676465658472	0.991916991668735	0.639375270211846	0.339704768097329	0.929257374397446	0.824691186823971	0.806271476505545	0.969290939378576	0.865136081511219	0.819756709935651	0.886140698638184	0.989694015923524	0.919626057053875	0.926294051386579	0.73344029276119	0.831619852483447	0.928489883424896	0.95270839707769	0.833571340040632	0.870435467659124	0.695650782304397	0.60934682750923	0.897497709850055	0.925909597989274	0.975769629700916	0.991590468125248	0.99081591300077	0.64930770597834	0.721200205712816	0.595565521879027	0.867019383231401	0.835011260837548	0.98383117561497	0.932058423967653	0.896456129627276	0.855681428448941	0.988577756853346	0.378866449937461	0.850926928371894	0.925832785759289	0.98854814289856	0.977335639212075	0.996456134613271	0.973971161015421	0.881063720522024	0.997132539788685	0.991563834103066	0.686215188683047	0.889475909837865	0.947118797186552	0.974226343213416	0.971874858562274	0.972984585638326	0.97945570827429	0.979669863990421	0.965022414306525	0.780160195179098	0.987870502972703	0.980325722148733	0.940323084656875	0.986265292480006	0.902007238344529	0.884489727225857	0.790650653406867	0.868440726815685	0.925194094694075	0.892799674972335	0.983812245962571	0.935970851289372	0.885789222062268	0.784290082253133	0.965579251786739	0.862867990073107	0.931154753067552	0.828252912966868	0.897494603782568	0.971173521864816	0.984314563521744	0.9958373299063	0.99225580140313	0.867349182094284	0.981957641304667
"A246"	0.96838842747317	0.778475680244975	0.974939569116002	0.902183080911371	0.897911973351598	0.807883496322082	0.841550187798081	0.935484048981574	0.844728946121687	0	0.929871096711932	0.826539609984699	0.946942810648094	0.859001682557487	0.83567042791376	0.915419230161393	0.923382513600901	0.902589964199259	0.737703725261933	0.82061367694075	0.827600327600328	0.847937078177533	0.942294356569693	0.957836053302647	0.841617504314818	0.848203007747396	0.922981248939184	0.952288182932354	0.995742129943471	0.950078323760429	0.953192826533705	0.823621118970494	0.882154355213736	0.826875923663315	0.944995718810356	0.672275446458136	0.782392559332906	0.830077871780514	0.819521209388793	0.911881038562885	0.892503237352096	0.92598917359551	0.861327490627632	0.847285869970065	0.774405831723953	0.961545692830047	0.927301381035984	0.94182288661988	0.750721099582807	0.918434936650364	0.821896630966143	0.778780250729008	0.822847980149048	0.857513829006702	0.782748562380198	0.956667422328138	0.679017499332087	0.840517529587447	0.801545878762412	0.964658345556693	0.924424713157814	0.906756775432923	0.803739506486899	0.838284231754268	0.795589311606711	0.90995471733604	0.897267978103832	0.829260436651869	0.856872332297172	0.792776574887523	0.785658485685814	0.827584296123902	0.908413475444971	0.925451497349982	0.963261286878399	0.721997563135063	0.869928035311557	0.827970467886311	0.744636022248104	0.721925370695076	0.892821254651664	0.858889674369284	0.895913143851314	0.756890272021119	0.963634058060906	0.845258165306719	0.873149500013774	0.773634240030329	0.946514092203154	0.865685601013069	0.926766197743422	0.897257765595002	0.902379578321016	0.941164633726139	0.960983795398912	0.811010495416909	0.862881761238736	0.90551277112841	0.874262536873156	0.941557942786916	0.79085260375583	0.828225356336585	0.93966000166394	0.891256863840211	0.845055054611516	0.893739880820887	0.868002764340014	0.916635849162324	0.951772492335617	0.888258284707696	0.869290653629316	0.845300638899401	0.839043611088616	0.907315994582792	0.860673686878007	0.957504741148689	0.924139426256727	0.849781745922529	0.772496885932181	0.940683433662278	0.687493764618506	0.784134113429072	0.838305984211307	0.869470063230779	0.913677496044668	0.934822522262136	0.941746236274931	0.873010221820458	0.81537695248009	0.977765428294744
