#OTUID	A101	A90	A264	A263	A274	A199	A114	A110	A136	A246	A44	A273	A248	A47	A286	A281	A117	A60	A218	A220	A45	A164	A184	A159	A203	A32	A235	A231	A250	A290	A76	A126	A219	A106	A229	A67	A112	A118	A111	A242	A245	A20	A89	A156	A236	A256	A178	A77	A198	A200	A02	A233	A271	A169	A302	A303	A59	A70	A74	A68	A07	A27	A99	A94	A88	A86	A87	A121	A132	A138	A149	A147	A143	A146	A145	A185	A180	A154	A174	A155	A166	A176	A182	A160	A177	A186	A190	A211	A195	A208	A205	A217	A189	A215	A188	A06	A40	A39	A36	A79	A05	A26	A15	A35	A238	A230	A23	A234	A240	A257	A260	A268	A251	A259	A275	A261	A292	A288	A279	A50	A280	A284	A301	A308	A224	A297	A304	A183	A202	A46	taxonomy
100497	0	0	0	4	1	0	0	11	0	0	0	1	3	7	0	2	0	0	1	0	1	2	20	14	0	0	67	4	0	1	0	0	3	1	0	0	0	0	2	4	0	0	7	2	3	27	0	0	1	0	1	0	9	0	0	1	0	3	0	10	0	0	0	7	0	0	2	2	0	0	0	1	7	0	12	4	0	1	0	9	24	5	16	16	16	0	0	5	5	0	4	4	10	2	0	2	0	12	0	1	1	4	0	0	0	4	0	3	0	0	0	0	0	0	1	2	0	3	0	0	0	6	3	2	12	0	7	14	1	14	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
1010113	0	2	1	18	31	8	33	26	2	3	5	11	26	30	157	68	21	0	93	1	182	283	10296	34	1	1	169	34	0	19	0	0	25	620	4	32	27	74	905	1203	13	0	13	8	109	51	4699	11	1	1	481	0	1643	1	1	33	4	30	1	152	2	39	1	71	1	4	29	39	0	0	0	27	8088	12	58	248	1	15	0	79	65	19	62	86	43	2	4	782	15	412	337	54	61	7	39	15	4	170	5	834	600	19	5	2	0	5431	0	65	0	0	1	2	1	9	29	27	1	8	0	175	9	13	2247	5	25	0	108	582	3	64	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
1012948	0	2	0	0	0	13	0	0	0	0	1	0	1	0	0	0	7	0	0	0	1	134	2	2	1	2	2	0	0	1	0	2	26	0	0	0	14	0	2	0	0	2	0	0	0	2	2	1	1	0	0	0	0	0	5	0	0	2	0	0	1	0	5	0	0	2	0	0	0	0	0	1	20	9	0	19	0	0	0	0	4	0	2	12	0	0	10	11	0	0	0	0	4	0	0	6	3	0	0	0	0	1	0	2	0	1	2	0	0	0	0	2	0	0	0	0	7	0	1	6	0	5	0	0	0	20	0	0	2	2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
1023075	0	0	0	0	291	0	0	0	0	21	0	0	0	0	0	0	0	0	274	0	0	0	0	0	1	0	3	0	20	555	0	0	0	1	0	1	0	0	0	0	4	0	0	0	2	0	7	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	5	0	0	0	2	0	0	0	0	0	5	0	210	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	2	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	12	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__
103166	0	0	0	0	0	0	0	6	1	0	0	1	31	10	1	2	0	0	93	1	0	0	0	3	0	0	4	6	0	0	0	0	0	0	0	0	40	0	12	16	12	3	5	1	3	0	2	0	1	1	2	0	1	1	6	8	0	1	4	1	0	1	0	2	0	0	4	3	0	0	0	3	1	5	32	1	0	3	1	27	2	2	31	0	3	0	1	4	1	2	1	2	2	0	0	0	0	7	4	0	0	5	0	0	0	2	2	2	0	1	0	0	1	4	0	108	0	0	0	84	17	3	1	9	3	0	32	0	0	115	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Citrobacter; s__
1033413	12	1042	334	479	1	260	0	2092	13	174	884	149	1138	1897	761	446	31	9	189	1084	2889	5	0	1	127	7470	107	129	1	8	195	158	35	6756	1780	6	1155	1615	1011	353	17	2163	9	0	711	71	0	8871	2192	6424	599	12	92	5	2324	663	30482	20389	28534	29913	15597	3	0	36	2	7803	130	1679	148	746	2566	7072	116	2792	3929	10813	1	2319	577	610	13	3206	669	5	0	354	626	55	7219	1	47	1365	2161	1	3	35077	6	97	22	5	1752	5358	25	14457	54	63	1821	14391	2737	56	774	5395	3172	532	16414	306	1495	6634	9415	6911	54	1047	0	309	1689	93	4	0	2	187	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
1040220	0	4	0	0	11	0	0	1	2	0	0	0	0	0	0	1	0	0	6	14	0	8	10	23	2	50	8	5	1	71	0	0	0	0	1	3	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	0	12	0	0	0	0	1	0	1	0	1	0	0	0	14	0	0	0	1	0	0	51	0	0	0	1	0	0	5	0	0	1	0	0	1	0	0	0	0	30	0	0	0	3	3	29	0	0	0	0	1	1	0	0	0	0	0	2	1	0	5	1	0	1	0	0	0	0	3	0	0	7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus
1047077	0	0	0	0	0	1	0	0	2	0	0	0	0	4	10	3	0	0	1	0	0	0	0	17418	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	2	0	0	9	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	70	0	0	397	0	0	2	1	0	0	1	0	0	0	2	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	631	0	19	0	0	8	2	59259	8	8	5	0	0	112	0	1	0	0	2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
1059655	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
1061772	3	0	0	1	1	0	0	0	0	0	7	0	0	0	2	0	0	12	19	13	5	24	12	113	0	0	8	1	9	1	0	0	1	1	0	1	0	0	0	0	24	0	14	0	1	5	1	0	0	0	0	1	1	3	0	12	0	0	0	1	6	0	2	3	2	0	0	0	5	0	0	3	5	0	0	0	0	9	5	0	1	3	2	0	0	2	3	14	0	10	0	0	2	0	0	0	0	2	0	4	0	7	0	0	3	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	8	5	2	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
