"A101"	"A90"	"A264"	"A263"	"A274"	"A199"	"A114"	"A110"	"A136"	"A246"	"A44"	"A273"	"A248"	"A47"	"A286"	"A281"	"A117"	"A60"	"A218"	"A220"	"A45"	"A164"	"A184"	"A159"	"A203"	"A32"	"A235"	"A231"	"A250"	"A290"	"A76"	"A126"	"A219"	"A106"	"A229"	"A67"	"A112"	"A118"	"A111"	"A242"	"A245"	"A20"	"A89"	"A156"	"A236"	"A256"	"A178"	"A77"	"A198"	"A200"	"A02"	"A233"	"A271"	"A169"	"A302"	"A303"	"A59"	"A70"	"A74"	"A68"	"A07"	"A27"	"A99"	"A94"	"A88"	"A86"	"A87"	"A121"	"A132"	"A138"	"A149"	"A147"	"A143"	"A146"	"A145"	"A185"	"A180"	"A154"	"A174"	"A155"	"A166"	"A176"	"A182"	"A160"	"A177"	"A186"	"A190"	"A211"	"A195"	"A208"	"A205"	"A217"	"A189"	"A215"	"A188"	"A06"	"A40"	"A39"	"A36"	"A79"	"A05"	"A26"	"A15"	"A35"	"A238"	"A230"	"A23"	"A234"	"A240"	"A257"	"A260"	"A268"	"A251"	"A259"	"A275"	"A261"	"A292"	"A288"	"A279"	"A50"	"A280"	"A284"	"A301"	"A308"	"A224"	"A297"	"A304"	"A183"	"A202"	"A46"
"OTU_195457"	0	0	0	156	0	20	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	20	53	54	0	0	12	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU_2686384"	90	0	154	1158	1	16	4	0	0	0	5	25	1	100	0	0	2	0	0	1	69	0	0	0	1	0	0	5	0	3	14	2	60	172	271	0	2	0	0	83	221	0	0	0	3	0	0	0	0	2	0	0	0	0	14	37	0	0	0	0	0	0	1	0	0	84	0	0	0	0	1	1	0	0	4	0	0	0	11	0	0	0	0	0	0	1	1	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	15	1	0	35	2	0	4	0	1	0
"OTU_290762"	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_194129"	0	162	0	0	1	12	9	0	0	0	1	23	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	5	0	3	1	0	0	0	82	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	10	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_292735"	1	1743	1	1515	0	2058	150	0	2	1	0	226	0	3	1	0	168	0	0	2	0	0	0	0	700	0	0	0	0	1	0	1	93	0	0	0	1	241	532	1009	2681	257	0	0	0	0	0	0	4	1	0	0	0	1	2	27	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	1	1	1	1	4	3	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	2	1	1	0	1	1	1	1	2	1	0	0	2	4	1	0	1	0
"OTU_190980"	0	191	0	184	0	27	9	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	444	0	0	0	1	0	0	0	18	0	0	0	0	25	229	326	485	5	0	0	0	1	0	0	0	0	0	1	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"OTU_183604"	0	79	0	10	0	236	30	0	0	0	0	22	0	0	0	0	28	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	6	0	0	0	0	110	6	56	183	5	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_4374302"	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_525378"	0	187	0	1	0	1	4	0	0	0	0	10	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"OTU_185059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_198128"	0	34	0	401	0	8	15	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_178462"	1	2	0	37	0	5	129	0	0	0	0	163	0	0	0	0	5	0	0	1	0	0	0	0	639	0	0	0	0	0	0	0	31	0	0	1	0	138	29	91	47	91	0	0	0	0	0	0	0	0	0	1	0	0	0	17	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"OTU_187210"	0	7	0	41	0	0	6	0	0	0	0	61	0	0	0	0	0	0	0	0	2	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3590	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"OTU_332929"	0	4	0	7	0	10	20	0	0	0	0	30	0	2	0	0	0	0	0	0	0	0	0	0	125	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
"OTU_177567"	0	16	0	0	0	0	37	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_302049"	1	1036	0	437	0	904	107	0	1	1	1	136	0	0	0	0	130	0	2	1	1	1	0	0	432	0	0	0	1	0	0	1	32	2	2	1	1	181	431	331	889	75	0	0	0	0	0	0	0	2	2	0	0	0	1	10	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	2	0	2	0	2	2	1	0	1	1	0	2	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0
"OTU_193666"	0	64	0	50	0	55	6	0	0	0	0	10	2	0	0	0	6	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	3	0	2	0	0	10	20	35	67	2	0	0	0	0	1	0	0	0	0	1	0	0	0	8951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"OTU_661266"	0	6	0	4	0	7	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU_4465907"	0	195	0	12	0	236	15	0	0	0	0	37	0	1	0	1	6	0	0	1	0	0	0	0	15	0	1	1	0	0	0	0	0	0	0	0	0	8	13	593	26	1	0	0	0	0	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_289734"	1	24962	8	9802	3	22791	2975	3	6	8	4	3858	3	6	2	3	3475	6	1	4	5	0	1	1	11129	4	1	4	6	7	6	2	651	4	4	4	4	4885	13027	10124	26774	2066	4	1	7	2	6	5	3	5	3	22	5	5	5	17	2	4	6	3	4	1	2	5	2	4	4	2	4	2	1	5	4	4	4	1	2	0	0	0	2	0	0	0	2	4	2	6	4	8	5	3	4	1	4	1	6	3	3	1	3	0	3	1	1	5	2	3	4	7	2	2	6	1	2	4	7	0	7	3	4	2	5	4	10	7	10	1	4	2
"OTU_191601"	0	77	0	22	0	46	5	0	0	0	0	10	0	0	0	0	7	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	1	0	0	0	0	8	22	20	62	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
